代码,名称,最新价,涨跌幅,涨跌额,成交量(股),成交额,振幅,最高,最低,今开,昨收,量比,指数
000950,300基建,2060.07,-1.40%,-29.17,24.96亿,182.5亿,2.11%,2101.26,2057.16,2098.66,2089.24,1.24,上证系列指数
000840,浙江民企,7389.46,-1.40%,-105.19,49.54亿,601.1亿,1.93%,7514.97,7370.51,7512.58,7494.65,0.95,上证系列指数
000993,全指信息,5445.76,-1.41%,-77.82,90.7亿,1105亿,2.00%,5539.71,5429.13,5531.62,5523.57,1.05,上证系列指数
000099,上证F300,6966.98,-1.42%,-100.42,84.79亿,840亿,2.02%,7090.93,6947.93,7085.23,7067.4,1.02,上证系列指数
000137,380高贝,4777.84,-1.44%,-69.57,24.54亿,347.1亿,2.04%,4855.66,4756.83,4848.43,4847.41,1.04,上证系列指数
000092,资源50,2563.11,-1.45%,-37.78,33.86亿,336.8亿,1.95%,2607.82,2557.08,2606.94,2600.89,1.24,上证系列指数
000806,消费服务,8265.61,-1.45%,-121.79,49.75亿,839.6亿,2.21%,8430.97,8245.48,8398.28,8387.4,0.99,上证系列指数
000978,医药100,12796.66,-1.46%,-190.15,15.04亿,263.2亿,1.90%,13008.92,12761.98,12994.98,12986.81,0.95,上证系列指数
000096,上证下游,4305.38,-1.47%,-64.04,54.64亿,650.4亿,2.18%,4389.16,4293.8,4380.4,4369.42,1.1,上证系列指数
000891,新兴综指,1226.24,-1.48%,-18.4,305.2亿,3328亿,1.98%,1247.18,1222.59,1247.04,1244.64,1.07,上证系列指数
000109,380医药,10314.16,-1.49%,-155.92,5.04亿,69.33亿,2.11%,10514.38,10293.32,10498.4,10470.07,0.96,上证系列指数
000839,浙企综指,6638.92,-1.49%,-100.13,61.41亿,763.8亿,1.86%,6747.55,6621.96,6747.31,6739.05,0.97,上证系列指数
000905,中证500,5723.04,-1.50%,-87.14,158.2亿,1434亿,2.06%,5824.52,5704.98,5821.02,5810.18,1.01,上证系列指数
000831,500低贝,9673.61,-1.50%,-147.37,48.73亿,370.6亿,1.76%,9820.29,9647.03,9812.78,9820.98,1.04,上证系列指数
000933,中证医药,9883.94,-1.52%,-152.18,13.26亿,232.8亿,1.84%,10043.97,9859.15,10036.51,10036.12,0.97,上证系列指数
000064,非周期,2999.81,-1.52%,-46.19,49.68亿,713亿,2.23%,3062.16,2994.14,3060.03,3046.0,1.06,上证系列指数
000935,中证信息,4161.03,-1.53%,-64.62,44.08亿,553.4亿,2.08%,4237.33,4149.48,4230.56,4225.65,1.06,上证系列指数
000982,500等权,6942.33,-1.55%,-109.15,158.2亿,1434亿,2.05%,7065.09,6920.84,7060.44,7051.48,1.01,上证系列指数
000161,沪中国造,1798.57,-1.56%,-28.45,43.59亿,617.1亿,2.10%,1832.0,1793.63,1830.17,1827.02,0.99,上证系列指数
000118,380价值,8235.04,-1.56%,-130.49,29.96亿,232.3亿,1.95%,8380.65,8217.12,8375.18,8365.53,0.97,上证系列指数
