代码,名称,最新价,涨跌幅,涨跌额,成交量(股),成交额,振幅,最高,最低,今开,昨收,量比,指数
399705,深证中游,2308.79,-1.59%,-37.18,66.08亿,750.8亿,2.15%,2351.97,2301.61,2349.14,2345.97,1.08,深证系列指数
399397,OCT文化,2035.89,-1.60%,-33.14,22.74亿,263.4亿,2.12%,2072.74,2028.83,2069.32,2069.03,1.11,深证系列指数
399100,新指数,8031.29,-1.60%,-130.69,426.4亿,4405亿,2.01%,8170.1,8006.42,8167.53,8161.98,1.04,深证系列指数
399690,中小专利,1905.7,-1.60%,-30.89,9.62亿,66.75亿,2.33%,1943.87,1898.73,1940.77,1936.6,0.9,深证系列指数
399680,深成能源,777.41,-1.61%,-12.74,5.36亿,72.55亿,3.30%,797.85,771.78,788.43,790.15,0.96,深证系列指数
399407,中盘高贝,2459.08,-1.62%,-40.51,34.91亿,418.5亿,2.34%,2510.55,2451.99,2508.95,2499.58,1.02,深证系列指数
399971,中证传媒,1457.76,-1.63%,-24.23,20.58亿,202.7亿,2.29%,1487.24,1453.31,1484.81,1481.99,0.99,深证系列指数
399654,深证文化,2674.79,-1.63%,-44.25,23.17亿,233.6亿,2.13%,2724.15,2666.18,2722.43,2719.04,1.1,深证系列指数
399429,新丝路,1301.7,-1.63%,-21.59,26.89亿,230.5亿,2.29%,1328.33,1297.98,1327.73,1323.28,1.02,深证系列指数
399615,深证工业,2544.58,-1.64%,-42.49,50.22亿,432.1亿,2.35%,2597.58,2536.84,2595.97,2587.07,1.18,深证系列指数
399802,500深市,5205.84,-1.65%,-87.24,82.63亿,785.2亿,2.19%,5306.61,5190.45,5303.65,5293.07,0.95,深证系列指数
399646,深消费50,7757.04,-1.65%,-129.79,22.41亿,390亿,2.47%,7923.8,7728.64,7873.99,7886.83,1.12,深证系列指数
399660,中创EW,2118.81,-1.66%,-35.85,36.24亿,572.7亿,2.29%,2161.78,2112.47,2160.59,2154.66,1.01,深证系列指数
399704,深证上游,3952.35,-1.67%,-67.29,17.25亿,168.1亿,2.22%,4031.59,3942.18,4026.75,4019.64,0.91,深证系列指数
399427,专利领先,2670.94,-1.67%,-45.41,64.33亿,416.4亿,2.46%,2729.99,2663.17,2729.99,2716.35,1.11,深证系列指数
399656,100绩效,5386.66,-1.68%,-92.06,60.8亿,984.8亿,2.15%,5488.32,5370.76,5476.23,5478.72,1.12,深证系列指数
399011,深证1000,4921.64,-1.68%,-83.87,287.7亿,3090亿,2.05%,5008.87,4906.1,5008.77,5005.5,1.06,深证系列指数
399374,中盘成长,3991.54,-1.69%,-68.64,31.96亿,347.4亿,2.54%,4083.33,3980.11,4081.18,4060.18,1.03,深证系列指数
399346,深证成长,3593.05,-1.69%,-61.77,42.86亿,559亿,2.12%,3660.26,3582.67,3660.26,3654.82,1.09,深证系列指数
399658,中小绩效,4022.97,-1.69%,-69.33,32.97亿,478.8亿,2.07%,4099.5,4014.62,4097.68,4092.29,1.02,深证系列指数
399379,国证基金,6895.64,-1.69%,-118.61,108.9亿,203.6亿,2.26%,7036.09,6877.54,7034.49,7014.26,0.92,深证系列指数
