代码,名称,最新价,涨跌幅,涨跌额,成交量(股),成交额,振幅,最高,最低,今开,昨收,量比,指数
399618,深证医药,9723.75,-1.00%,-98.67,5.08亿,111.4亿,1.24%,9815.36,9693.91,9810.22,9822.42,0.93,指数成份
000852,中证1000,6192.14,-1.01%,-63.11,214.6亿,2001亿,1.65%,6274.46,6171.31,6270.37,6255.25,1.04,指数成份
399012,创业300,2522.7,-1.02%,-26.03,59.62亿,701.4亿,1.86%,2560.25,2512.77,2556.52,2548.73,1.05,指数成份
399674,深A医药,2045.02,-1.02%,-20.98,20.32亿,272亿,1.50%,2069.5,2038.46,2067.71,2066.0,0.96,指数成份
399685,深成医药,1960.73,-1.02%,-20.18,7.47亿,135.1亿,1.31%,1980.53,1954.54,1978.5,1980.91,1.0,指数成份
399692,创业低波,2587.5,-1.02%,-26.66,21.86亿,208.4亿,1.71%,2623.41,2578.8,2620.56,2614.16,1.06,指数成份
000917,300公用,1883.54,-1.03%,-19.65,3.2亿,17.92亿,1.08%,1903.59,1883.03,1903.59,1903.19,0.81,指数成份
399817,生态100,1393.86,-1.04%,-14.64,15.47亿,132亿,1.68%,1411.85,1388.12,1408.01,1408.5,0.98,指数成份
000983,智能资产,9788.47,-1.05%,-103.92,36.83亿,569.5亿,1.63%,9916.6,9755.19,9910.13,9892.4,1.07,指数成份
000020,中型综指,1170.41,-1.06%,-12.54,49.53亿,552.8亿,1.59%,1185.64,1166.8,1184.71,1182.95,0.94,指数成份
399928,中证能源,2122.15,-1.06%,-22.76,28.71亿,181.1亿,2.13%,2157.25,2111.56,2146.75,2144.91,1.46,指数成份
000928,中证能源,2122.15,-1.06%,-22.76,28.71亿,181.1亿,2.13%,2157.25,2111.56,2146.75,2144.91,1.46,指数成份
000045,上证小盘,4428.58,-1.06%,-47.47,105.5亿,920.2亿,1.73%,4492.24,4414.89,4489.08,4476.06,1.06,指数成份
399606,创业板R,1779.34,-1.07%,-19.16,23.91亿,354.8亿,1.92%,1806.64,1772.13,1803.72,1798.5,1.0,指数成份
399811,CSSW电子,2509.5,-1.07%,-27.13,38.54亿,442.8亿,2.01%,2554.15,2503.12,2536.68,2536.63,1.09,指数成份
399967,中证军工,8621.11,-1.07%,-92.82,6.08亿,81.68亿,1.88%,8761.21,8597.11,8744.18,8713.94,0.92,指数成份
399006,创业板指,1697.51,-1.07%,-18.29,102.7亿,1166亿,1.92%,1723.56,1690.64,1720.78,1715.8,1.05,指数成份
399296,创成长,2932.44,-1.08%,-32.06,8.28亿,179.4亿,1.94%,2977.33,2919.84,2974.28,2964.5,0.97,指数成份
399640,创业基础,1679.87,-1.08%,-18.29,76.11亿,852.5亿,1.91%,1705.63,1673.26,1703.17,1698.16,1.04,指数成份
000039,上证信息,3519.37,-1.08%,-38.54,7.73亿,160.1亿,2.12%,3580.46,3505.03,3567.54,3557.92,0.98,指数成份
000141,380动态,3649.76,-1.09%,-40.04,46.1亿,521.8亿,1.76%,3701.48,3636.4,3697.92,3689.8,1.03,指数成份
